E,FSR_primary,FSR_secondary,IFA_primary,IFA_secondary,direct_gamma_primary,direct_gamma_secondary,total,total_primary,total_secondary
0.514544,4.98499e+20,1.496351e+21,1.886986e+21,2.524123e+21,494677000.0,3.35215e+19,6.439480500000494e+21,2.3854850000004946e+21,4.0539955e+21
0.541336,4.73809e+20,1.420034e+21,2.467658e+21,3.719924e+21,573873000.0,3.6619299999e+19,8.118044299999574e+21,2.941467000000574e+21,5.176577299998999e+21
0.569523,4.503409e+20,1.347554e+21,3.02436e+21,5.003563e+21,665747000.0,4.0751499999e+19,9.866569399999666e+21,3.4747009000006657e+21,6.391868499999e+21
0.599177,4.280348e+20,1.278626e+21,2.904376e+21,5.731104e+21,772330000.0,4.4619599999e+19,1.0386760399999774e+22,3.3324108000007726e+21,7.054349599999001e+21
0.630375,4.068326e+20,1.213172e+21,2.785265e+21,6.224796e+21,895977000.0,5.0732799999e+19,1.0680798399999894e+22,3.1920976000008963e+21,7.488700799998999e+21
0.663198,3.866795e+20,1.15092e+21,2.667773e+21,6.520464e+21,1039419999.9999995,5.4416199999e+19,1.0780252700000039e+22,3.05445250000104e+21,7.725800199998999e+21
0.69773,3.675238e+20,1.091813e+21,2.5525e+21,6.662566e+21,1205819999.9999995,6.0473999999e+19,1.0734876800000205e+22,2.920023800001206e+21,7.814852999999e+21
0.73406,3.493162e+20,1.035595e+21,2.439904e+21,6.689966e+21,1398870000.0,6.6179599999e+19,1.0580960800000398e+22,2.789220200001399e+21,7.791740599998999e+21
0.772281,3.3201e+20,9.821695e+20,2.330334e+21,6.63285e+21,1622820000.0,7.1301899998e+19,1.0348665399999623e+22,2.662344000001623e+21,7.686321399997999e+21
0.812493,3.155599e+20,9.314627e+20,2.224046e+21,6.514324e+21,1882630000.0000007,7.9759399998e+19,1.0065151999999883e+22,2.539605900001883e+21,7.525546099998e+21
0.854798,2.999243e+20,8.832218e+20,2.121223e+21,6.351865e+21,2184029999.999999,8.6570299998e+19,9.742804400000184e+21,2.421147300002184e+21,7.321657099998001e+21
0.899307,2.850621e+20,8.374435e+20,2.021987e+21,6.158815e+21,2533690000.0,9.5053399997e+19,9.398360999999534e+21,2.3070491000025336e+21,7.091311899997e+21
0.946132,2.709359e+20,7.938902e+20,1.926409e+21,5.944891e+21,2939320000.0,1.0093e+20,9.03705610000294e+21,2.1973449000029394e+21,6.8397112e+21
0.995396,2.575086e+20,7.52503e+20,1.834521e+21,5.717886e+21,3409890000.0,1.09898e+20,8.67231660000341e+21,2.09202960000341e+21,6.580286999999999e+21
1.04723,2.447447e+20,7.132469e+20,1.746319e+21,5.48369e+21,3955800000.0000024,1.20032e+20,8.308032600003955e+21,1.9910637000039557e+21,6.3169689e+21
1.10175,2.326154e+20,6.758943e+20,1.661773e+21,5.246583e+21,4589100000.0,1.29163e+20,7.946028700004588e+21,1.8943884000045892e+21,6.051640299999999e+21
