# E_gamma(MeV)   Spectrum
5.145440e-01 1.524748e+19
5.413360e-01 1.788647e+19
5.695230e-01 2.088273e+19
5.991770e-01 2.333665e+19
6.303750e-01 2.495876e+19
6.631980e-01 2.584848e+19
6.977300e-01 2.621393e+19
7.340600e-01 2.618035e+19
7.722810e-01 2.585487e+19
8.124930e-01 2.531560e+19
8.547980e-01 2.463799e+19
8.993070e-01 2.385717e+19
9.461320e-01 2.300848e+19
9.953960e-01 2.210918e+19
1.047230e+00 2.118735e+19
1.101750e+00 2.025732e+19
1.159120e+00 1.933601e+19
1.219470e+00 1.842058e+19
1.282970e+00 1.751858e+19
1.349770e+00 1.664335e+19
1.420050e+00 1.579483e+19
1.493990e+00 1.497340e+19
1.571780e+00 1.418431e+19
1.653620e+00 1.341937e+19
1.739730e+00 1.268958e+19
1.830310e+00 1.199007e+19
1.925610e+00 1.132277e+19
2.025880e+00 1.068417e+19
2.131360e+00 1.007552e+19
2.242340e+00 9.497361e+18
2.359100e+00 8.945600e+18
2.481930e+00 8.423528e+18
2.611160e+00 7.928014e+18
2.747120e+00 7.457772e+18
2.890160e+00 7.012787e+18
3.040650e+00 6.591045e+18
3.198970e+00 6.192986e+18
3.365530e+00 5.816113e+18
3.540770e+00 5.459876e+18
3.725140e+00 5.124158e+18
3.919100e+00 4.807375e+18
4.123160e+00 4.508397e+18
4.337850e+00 4.227305e+18
4.563720e+00 3.962287e+18
4.801340e+00 3.714594e+18
5.051340e+00 3.481747e+18
5.314360e+00 3.262911e+18
5.591070e+00 3.058615e+18
5.882190e+00 2.867551e+18
6.188470e+00 2.689818e+18
6.510690e+00 2.524859e+18
6.849700e+00 2.372173e+18
7.206350e+00 2.231672e+18
7.581580e+00 2.102692e+18
7.976340e+00 1.985610e+18
8.391660e+00 1.879984e+18
8.828600e+00 1.785790e+18
9.288290e+00 1.702929e+18
9.771920e+00 1.631002e+18
1.028070e+01 1.570963e+18
1.081600e+01 1.519932e+18
1.137920e+01 1.477699e+18
1.197170e+01 1.443559e+18
1.259510e+01 1.414868e+18
1.325090e+01 1.390444e+18
1.394080e+01 1.367117e+18
1.466670e+01 1.343017e+18
1.543040e+01 1.315716e+18
1.623380e+01 1.281920e+18
1.707910e+01 1.241073e+18
1.796840e+01 1.191328e+18
1.890400e+01 1.134526e+18
1.988830e+01 1.070487e+18
2.092380e+01 1.000245e+18
2.201330e+01 9.243678e+17
2.315950e+01 8.416711e+17
2.436540e+01 7.576874e+17
2.563410e+01 6.744572e+17
2.696880e+01 5.977341e+17
2.837300e+01 5.288475e+17
2.985040e+01 4.682238e+17
3.140470e+01 4.145666e+17
3.303990e+01 3.654890e+17
3.476020e+01 3.207049e+17
3.657010e+01 2.793448e+17
3.847430e+01 2.409351e+17
4.047760e+01 2.061615e+17
4.258520e+01 1.742835e+17
4.480250e+01 1.456934e+17
4.713530e+01 1.212662e+17
4.958960e+01 1.004029e+17
5.217170e+01 8.352909e+16
5.488820e+01 6.980408e+16
5.774620e+01 5.875065e+16
6.075290e+01 4.977228e+16
6.391620e+01 4.207976e+16
6.724430e+01 3.559462e+16
7.074560e+01 2.996922e+16
7.442920e+01 2.504652e+16
7.830470e+01 2.077468e+16
8.238190e+01 1.696810e+16
8.667140e+01 1.366546e+16
9.118430e+01 1.089604e+16
9.593210e+01 8.621865e+15
1.009270e+02 6.861733e+15
1.061820e+02 5.460141e+15
1.117110e+02 4.358997e+15
1.175280e+02 3.473551e+15
1.236470e+02 2.740604e+15
1.300850e+02 2.130432e+15
